Age,MonthlyIncome,YearsAtCompany,JobSatisfaction,OverTime,JobLevel,WorkLifeBalance,YearsSinceLastPromotion,PreviousWorkExperience,Attrition
50,7759,3,2,Yes,2,1,2,9,No
36,4385,12,4,No,3,3,9,4,No
29,13111,1,1,Yes,4,3,9,5,No
42,6736,1,4,No,3,4,2,9,No
40,3802,13,1,Yes,1,1,1,6,No
44,10155,3,1,No,3,4,0,13,No
32,10120,11,3,No,3,4,6,14,Yes
32,8616,5,1,Yes,3,4,6,4,No
45,16257,12,4,No,3,3,1,6,No
57,16486,3,2,Yes,4,1,6,8,No
45,18646,1,1,Yes,1,4,7,2,No
24,16075,1,3,Yes,4,1,0,7,No
43,11208,8,4,Yes,4,1,8,1,Yes
23,18371,10,1,No,3,3,6,10,No
45,13835,11,4,No,2,4,2,6,No
51,15168,12,3,No,2,4,7,12,Yes
59,4049,13,3,Yes,4,1,6,1,No
23,7423,13,4,No,4,2,7,14,No
42,16589,12,1,Yes,3,3,5,13,No
54,9158,14,2,No,4,3,8,3,No
33,12248,2,3,No,3,3,4,6,No
43,9400,13,1,No,2,3,2,2,No
46,11874,3,1,Yes,2,4,2,1,No
48,17151,2,2,No,1,4,0,10,No
49,3154,3,3,No,2,2,7,9,No
37,6499,7,3,Yes,4,3,1,6,No
36,8295,1,1,No,2,3,2,0,No
24,14183,10,1,Yes,3,1,7,13,No
58,14874,8,2,No,2,4,7,14,No
28,7539,13,2,Yes,1,3,3,7,No
42,11637,10,3,Yes,2,2,3,2,No
30,17586,10,4,No,3,2,4,11,No
39,4557,10,3,Yes,3,4,5,11,No
25,7592,14,1,Yes,4,2,4,12,No
46,18482,2,3,Yes,2,2,6,1,No
35,4200,3,4,Yes,3,4,1,2,No
30,16172,9,2,Yes,1,3,6,4,Yes
47,4961,7,4,Yes,4,3,9,10,No
23,16207,4,4,No,1,2,6,7,No
41,13969,10,4,Yes,2,2,0,9,Yes
49,4869,5,2,Yes,2,3,6,6,No
28,19340,2,4,No,2,4,4,6,Yes
29,15992,13,4,No,4,2,2,11,No
56,7699,11,4,No,3,1,2,6,No
35,5987,13,1,No,4,4,3,14,Yes
38,15446,8,4,No,1,2,1,7,No
57,3218,4,2,No,4,2,1,0,No
25,6735,9,4,No,1,1,0,3,No
23,13296,5,4,Yes,4,1,4,12,Yes
27,6555,13,2,Yes,3,3,3,5,No
25,11146,9,4,No,1,4,9,8,No
50,10050,4,2,Yes,2,4,1,12,No
39,14757,10,4,Yes,2,3,2,1,No
47,19429,5,2,Yes,4,4,6,0,No
55,8893,9,4,No,2,4,6,12,No
31,16373,8,4,No,1,4,3,9,No
57,16565,3,1,Yes,2,4,4,11,No
35,5436,1,1,No,3,4,4,13,Yes
52,10754,3,4,Yes,3,1,5,1,No
36,12677,4,4,Yes,4,4,8,6,No
29,7895,2,3,Yes,1,1,1,2,No
35,18609,1,2,Yes,3,4,4,9,No
44,17636,7,3,No,3,3,2,1,No
42,9022,8,1,No,1,2,3,13,No
37,11151,7,1,No,2,1,9,10,Yes
39,7600,14,1,Yes,2,4,5,6,No
45,9996,5,1,No,4,3,7,12,No
47,11007,12,4,Yes,2,2,0,12,Yes
46,14946,1,1,No,1,1,9,1,No
50,6642,7,4,Yes,3,2,7,2,No
36,13312,13,4,Yes,2,3,6,10,Yes
22,9679,7,1,Yes,4,1,0,6,No
46,10208,9,1,No,2,2,1,13,No
28,12716,3,2,No,1,4,2,3,No
30,19453,9,3,No,4,1,0,12,Yes
45,5444,14,1,No,2,2,8,13,No
22,12757,1,2,Yes,4,3,7,0,No
29,16434,1,2,No,1,3,1,12,No
45,3060,14,3,No,3,1,8,13,No
32,5420,4,4,Yes,1,2,6,4,Yes
38,2301,9,1,Yes,1,1,8,11,No
29,14468,6,3,Yes,1,1,5,8,Yes
56,18990,13,1,No,1,2,5,7,Yes
56,2699,11,2,Yes,3,2,3,11,No
54,2190,3,2,Yes,3,4,9,14,No
26,12492,1,4,Yes,4,2,9,8,No
49,19364,4,2,No,2,3,1,9,No
28,4975,12,2,Yes,3,1,6,13,No
30,8102,13,3,No,3,1,4,8,No
29,19568,9,1,No,2,3,5,14,No
33,3816,3,1,Yes,3,2,1,6,No
55,2569,12,3,Yes,1,3,4,3,No
54,7442,9,4,No,1,3,9,4,Yes
44,3895,7,1,Yes,2,4,3,0,No
45,5863,12,2,Yes,4,3,8,13,No
58,14913,14,1,No,4,1,5,0,No
56,9455,4,2,No,2,3,1,2,Yes
43,6014,3,4,Yes,2,1,0,12,No
48,13093,10,3,No,1,1,4,13,No
56,5009,5,1,Yes,4,1,8,7,No
22,18538,5,3,Yes,3,2,5,13,No
56,12729,3,1,Yes,1,4,9,1,Yes
58,3409,12,2,No,2,1,6,3,No
35,14249,9,3,Yes,4,1,4,1,No
24,2784,4,1,Yes,3,2,9,13,No
22,10096,11,2,Yes,3,1,5,4,No
26,9560,5,3,No,1,3,4,8,No
47,14533,4,3,No,4,3,8,0,No
35,9343,5,1,No,4,4,5,4,No
48,9206,7,1,No,2,1,7,13,No
30,7801,9,1,No,4,2,1,14,No
36,18921,7,2,Yes,4,3,8,8,No
36,7986,13,1,No,1,2,4,14,No
47,12647,5,3,No,4,2,6,0,Yes
34,10716,10,3,No,3,3,9,8,No
53,14323,10,1,Yes,1,2,0,7,No
53,6780,7,1,No,1,3,9,3,No
25,4368,14,4,No,2,2,4,11,No
51,14039,10,3,Yes,4,3,9,10,No
58,8655,5,2,No,2,1,1,9,Yes
44,10173,3,4,Yes,3,4,5,4,No
36,6495,7,1,Yes,1,3,0,12,No
50,12893,13,1,Yes,1,3,2,4,No
57,15403,11,3,Yes,1,4,4,10,No
34,15121,11,1,Yes,3,3,3,11,No
53,12966,2,2,No,3,3,2,5,No
28,2853,12,3,Yes,2,2,9,6,Yes
43,18958,9,1,Yes,2,4,4,7,Yes
49,19532,10,3,No,2,1,7,14,No
23,11907,10,1,Yes,4,3,3,13,No
27,6777,12,1,No,1,4,0,7,No
49,17338,1,1,No,1,2,6,10,No
49,4491,13,2,No,2,1,7,13,Yes
41,17328,6,2,Yes,1,4,2,12,Yes
51,16599,7,3,Yes,2,1,5,1,No
32,5051,14,1,Yes,4,1,1,8,No
49,17979,13,1,No,4,1,6,6,No
46,18388,8,2,Yes,3,3,7,3,No
54,2876,10,1,Yes,4,3,5,3,Yes
22,6142,9,2,Yes,2,2,5,10,No
48,17202,2,1,No,4,2,4,7,No
34,8966,11,3,No,3,4,7,3,No
24,9079,10,1,Yes,1,2,0,12,No
27,9987,2,1,Yes,2,1,9,14,No
29,8799,5,4,Yes,1,1,3,5,Yes
48,6465,13,2,Yes,3,3,3,4,Yes
